source,target,type
what,knowledge,question
possible,knowledge,question
gettier,what,complicates
gettier,justified,complicates
gettier,true,complicates
gettier,belief,complicates
skeptics,possible,answer
fallibilists,possible,answer
epistemists,possible,answer
induction,priori-posteriori,complicates
induction,justified,complicates
justified,what,answer
true,what,answer
belief,what,answer
internal-external,justified,interp
correspondence,true,interp
deflationary,true,interp
epistemic,true,interp
found,munch,answer
coherent,munch,answer
infinit,munch,answer
ana-synth,belief,types
priori-posteriori,justified,types
modal,belief,types
munch,justified,complicates
